NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
"Chase, William Henry","Chase, William Henry",3616 Cobourg Road,Mounted on a pole in front of Chase Building at Dalhousie University,Halifax,Nova Scotia,"Businessman and philanthropist, supported Nova Scotia universities","Homme d'affaires et philanthrope, a appuyé les universités de la Nouvelle-Écosse",44.636936,-63.59367
"Chaussegros de Léry, Gaspard-Joseph","Chaussegros de Léry, Gaspard-Joseph",<Null>,Fortifications of Québec NHSC - Artillery Park - Nouvelles Casernes,Québec,Quebec,"Helped shape several major historical sites, which are still a part of the Canadian and American landscape; including Fortifications of Québec","A contribué à modeler plusieurs grands lieux de mémoire, qui sont toujours présents dans les paysages canadien et américain; Fortifications de Québec",46.813947,-71.213491
"Chomedey de Maisonneuve, Paul de","Chomedey de Maisonneuve, Paul de",Notre-Dame St.,"East side of Place d'Armes, near le Séminaire de Saint-Sulpice at rue Notre Dame",Montréal,Quebec,Founded the city of Montréal (Ville-Marie) in 1642,Fondateur de la ville de Montréal (Ville-Marie) en 1642,45.504666,-73.557229
"Christie, Robert","Christie, Robert",<Null>,Hants County War Memorial Centre,Windsor,Nova Scotia,"Politician and historian, wrote six volume ""History of Lower Canada""","Politicien et historien, auteur d'une histoire du Bas-Canada en six volumes",44.992391,-64.133357
"Clergue, Francis Hector","Clergue, Francis Hector",Canal Drive,Brookfield Power Plant outflow,Sault Ste. Marie,Ontario,Established major industrial complex at Sault Ste. Marie,Responsable de l'établissement d'un important complexe industriel à Sault Ste. Marie,46.515234,-84.346837
"Clinch, Reverend John","Clinch, révérend John",<Null>,<Null>,Trinity,Newfoundland and Labrador,"Medical and missionary pioneer, introduced Jenner vaccine for smallpox","Pionnier médical et missionnaire, responsable de l'introduction du vaccin Jenner contre la variole",48.370001,-53.378742
"Coaker, Sir William Ford","Coaker, Sir William Ford",<Null>,<Null>,Port Union,Newfoundland and Labrador,"Newfoundland social reformer, founded the Fishermen's Protective Union in 1908","Réformateur social de Terre-Neuve, fondateur de la Fishermen's Protective Union en 1908",48.496848,-53.079622
"Cockburn, James","Cockburn, James",<Null>,<Null>,Toronto,Ontario,"Father of Confederation, first Speaker of the House of Commons (1867-74)","Père de la Confédération, premier orateur de la Chambre des communes (1867-1874)",43.670379,-79.366975
"Coleman, Kathleen Blake","Coleman, Kathleen Blake",444 Front Street West,Globe and Mail Building,*    Toronto,Ontario,"Innovative editor of the woman's page of the Toronto Daily Mail (after 1895, the Mail and Empire) from 1889 to 1911","Femme aux idées originales, rédactrice de la page féminine du Daily Mail de Toronto (le Mail and Empire après 1895) de 1889 à 1911",43.642489,-79.395367
"Coles, George","Coles, George",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,Father of Confederation,Père de la Confédération,46.23526,-63.1259
"Collins, Enos","Collins, Enos",Water Street,On wall of Halifax Waterfront Buildings NHSC,Halifax,Nova Scotia,"Privateer and entrepreneur, important role in development of Halifax",Corsaire et entrepreneur qui joua un rôle important dans le développement de Halifax,44.650249,-63.573396
"Conacher, Lionel Pretoria 'Big Train'","Conacher, Lionel Pretoria «Big Train»",<Null>,<Null>,Toronto,Ontario,"Male Athlete of the Half-century (1900-50), 1921 Grey Cup, National Hockey League (1925-37)","Athlète masculin du demi-siècle (1900-1950), coupe Grey 1921, Ligue nationale de hockey (1925-1937)",43.680767,-79.393833
"Cook, Captain James","Cook, capitaine James","Crow Hill, 5 km north-west of Massey Drive",<Null>,Corner Brook,Newfoundland and Labrador,"Surveyed coast of Newfoundland (1763-67), Gulf of St. Lawrence and Nova Scotia (1758-62)","A reconnu les côtes de Terre-Neuve (1763-1767), du golfe du Saint-Laurent et de la Nouvelle-Écosse (1758-1762)",48.95323,-57.96494
"Cook, Captain James","Cook, capitaine James",Needham Street,Fort Needham Memorial Park,Halifax,Nova Scotia,"Surveyed coast of Newfoundland (1763-67), Gulf of St. Lawrence and Nova Scotia (1758-62)","A reconnu les côtes de Terre-Neuve (1763-67), du golfe du Saint-Laurent et de la Nouvelle-Écosse (1758-62)",44.665411,-63.600639
"Cormack, William Epps","Cormack, William Epps",<Null>,On a boulder,Milton,Newfoundland and Labrador,First recorded overland crossing of Newfoundland (1822),Première traversée connue de Terre-Neuve par voie de terre (1822),48.207454,-53.954869
"Cornwallis, Edward","Cornwallis, Edward",<Null>,Mounted on Cornwallis statue,Halifax,Nova Scotia,"Founder of Halifax (1749), Governor of Nova Scotia (1749-52)","Fondateur de Halifax (1749), gouverneur de la Nouvelle-Écosse (1749-1752)",44.639719,-63.569595
"Cosby, Admiral Phillips","Cosby, Admiral Phillips",path at corner of St. Anthony and St. George St.,Fort Anne NHSC,Annapolis Royal,Nova Scotia,Commander-in-Chief of the Royal Navy in the Mediterranean (1786-90),Commandant en chef de la Royal Navy dans la Méditerranée (1786-1790),44.742604,-65.518851
"Coughlan, Reverend Laurence","Coughlan,  révérend Laurence",Water St.,On Water St. in small enclosure next to church,Harbour Grace,Newfoundland and Labrador,"First Methodist mission in British North America (1765) at Harbour Grace, Newfoundland",Fondateur de la première mission méthodiste en Amérique du Nord britannique (1765) à Harbour Grace (Terre-Neuve),47.694236,-53.211036
"Cox, George","Cox, George",<Null>,<Null>,*    Toronto,Ontario,"Financier, senator (1896), philanthropist, leading Toronto businessman; dominant figure in the insurance industry from the mid-1890s to his death in 1914","Financier, sénateur (1896), philanthrope, important homme d'affaires de Toronto; Financier, sénateur (1896), philanthrope, important homme d'affaires de Toronto",43.653511,-79.383965
"Coyne, Dr. James Henry","Coyne, docteur James Henry",<Null>,in main corridor County Court House,St. Thomas,Ontario,"President of Ontario Historical Society (1898-1902), member of Historic Sites and Monuments Board of Canada (1919-30)","Président de la Société historique de l'Ontario (1898-1902), membre de la Commission des lieux et monuments historique du Canada (1919-1930)",42.775317,-81.2018
"Crawford, Isabella Valancy","Crawford, Isabella Valancy",<Null>,"Millenium Park, on bank of Otonabee River near City Hall",Peterborough,Ontario,Poet and writer,Poète et écrivain,44.302968,-78.316818
"Creighton, James George Aylwin","Creighton, James George Aylwin",1187 Drummond Street,Site of former Victoria  Skating Rink,Montréal,Quebec,Often considered the 'father' or inventor of organized ice hockey; captain of the first regular ice hockey club to be formed in Canada,Souvent considéré comme le «père» ou l'inventeur du hockey sur glace organisé; capitaine du premier club de hockey sur glace constitué au Canada,45.497572,-73.57207
"Crerar, Thomas Alexander","Crerar, Thomas Alexander",Main Street,In front of Town Hall,Russell,Manitoba,Influential architect of the Canadian grain trade before 1930; led the Progressive Party,Prestigieux artisan du commerce du grain canadien avant 1930; a dirigé le Parti progressiste,50.779936,-101.287808
"Cross, Alfred Ernest","Cross, Alfred Ernest",<Null>,Centennial Park,Nanton,Alberta,"Alberta entrepreneur, ranching, brewing, oil and gas, Calgary Stampede","Entrepreneur de l'Alberta, dans l'élevage, les brasseries, le pétrole, le gaz naturel, le Stampede de Calgary",50.349947,-113.773592
"Cruikshank, Ernest Alexander","Cruikshank, Ernest Alexander",102 Main Street East,<Null>,Welland,Ontario,"First chairman of the Historic Sites and Monuments Board of Canada (1919-39), historian","Premier président de la Commission des lieux et monuments historique du Canada (1919-1939), historien",42.992333,-79.2481
"Crémazie, Octave","Crémazie, Octave",37 Sainte-Angèle St.,On wall of building,Québec,Quebec,"Quebec poet, founded ""Le Mouvement littéraire du Québec"" in the 1850s","Poète du Québec, fondateur du Mouvement littéraire du Québec dans les années 1850",46.813055,-71.210842
"Cullen, Maurice Galbraith","Cullen, Maurice Galbraith",<Null>,in the Assembly Hall at Memorial University,St. John's,Newfoundland and Labrador,"Artist, depicted winter landscapes of Quebec in an impressionistic style","Artiste, auteur de paysages d'hiver du Québec dans un style impressioniste",47.574064,-52.736574
"Cunard, Sir Samuel","Cunard, sir Samuel",<Null>,<Null>,Halifax,Nova Scotia,"Founded a commercial empire of shipping, banking, lumber, land and coal","Fondateur d'un empire commercial de transport maritime, de banques, de bois d'œuvre et de terres",44.624881,-63.564184
"Currie, Sir Arthur William","Currie, sir Arthur William",399 Ridout Street North,in Middlesex County Court House NHSC,London,Ontario,"Commander of the Canadian Corps in 1917, first General in the Canadian Army; World War I","Commandant du Corps canadien en 1917, premier général de l'Armé canadienne",42.982007,-81.254352
"Cuvillier, Augustin","Cuvillier, Augustin",<Null>,<Null>,Montréal,Quebec,"Speaker of the Assembly of Lower Canada (1841-44), founded Bank of Montréal","Orateur de l'Assemblée du Bas-Canada (1841-1844), fondateur de la Banque de Montréal",45.5,-73.6
"Cyr, Louis","Cyr, Louis",<Null>,<Null>,Saint-Cyprien-de-Napierville,Quebec,Champion wrestler and weightlifter of the late 19th-century,Champion lutteur et homme fort de la fin du XIXe siècle,47.9,-69.016667
"Dafoe, John Wesley","Dafoe, John Wesley",1355 Mountain Avenue,Lobby of the Winnipeg Free Press Building,Winnipeg,Manitoba,"Editor-in-chief of the ""Winnipeg Free Press"", Canada's role in world affairs","Rédacteur en chef du «Winnipeg Free Press», rôle du Canada dans les affaires internationales",49.934367,-97.174433
"Davidson, William","Davidson, William",<Null>,Court House Building,Newcastle,New Brunswick,"First English-speaking settler in the Miramichi district, pioneer ship-builder","Premier colon anglophone dans le district de Miramichi, pionnier de la construction navale",47,-65.566667
"Davies, Sir Louis Henry","Davies, sir Louis Henry",165 Richmond Street,north east side of Province House NHSC,Charlottetown,Prince Edward Island,"Premier of Prince Edward Island (1876-79), Chief Justice of Canada (1918-24)","Premier ministre de l'Île-du-Prince-Édouard (1876-1879), juge en chef du Canada (1918-1924)",46.234637,-63.125718
"Davin, Nicholas Flood","Davin, Nicholas Flood",<Null>,Wascana Park,Regina,Saskatchewan,"Founded the Regina ""Leader"" newspaper (1883), Member of Parliament for West Assiniboia (1887-1900)","Fondateur du journal Regina «Leader» (1883), député de Assiniboia Ouest (1887-1900)",50.439103,-104.614821
"Davis, John","Davis, John",<Null>,<Null>,Pangnirtung,Nunavut,"Arctic explorer, three Northwest Passage expeditions (1585-87)","Explorateur de l'Arctique, trois expéditions à la recherche du Passage du Nord-Ouest (1585-87)",66.133083,-65.6778
"Dawson, Dr. George Mercer","Dawson, George Mercer",<Null>,<Null>,Pictou,Nova Scotia,Director of the Geological Survey of Canada (1895),Directeur de la Commission géologique du Canada (1895),45.679332,-62.720603
"Dawson, Robert MacGregor","Dawson, Robert MacGregor",<Null>,On the grounds of the Dawson Memorial Hospital,Bridgewater,Nova Scotia,"Political scientist, wrote text book ""The Government of Canada""","Politicologue, auteur du manuel «The Government of Canada»",44.383333,-64.516667
"Dawson, Sir John William","Dawson, sir John William",Church and Constittution Street,<Null>,Pictou,Nova Scotia,"First President of the Royal Society of Canada, principal of McGill University (1855-93)","Premier président de la Société royale du Canada, recteur de l'Université McGill (1855-1893)",45.677115,-62.710513
"De Buade, Louis (Count of Frontenac)","De Buade, Louis (comte de Frontenac)",<Null>,Saint-Louis Forts and Châteaux NHSC,*    Québec,Quebec,"Governor General of New France (1672-82, 1689-98), extended it to the Great Lakes","Gouverneur général de la Nouvelle-France (1672-1682, 1689-1698), qu'il a étendue jusqu'aux Grands Lacs",46.811732,-71.204579
"De Cosmos, Amor","De Cosmos, Amor",1205 Wharf Street at Bastion Square,<Null>,Victoria,British Columbia,"Premier of British Columbia (1872-74), founded the British Colonist","Premier ministre de la Colombie-Britannique (1872-1874), fondateur du «British Colonist»",48.425936,-123.369908
"De Mille, James","De Mille, James",277 Douglas Avenue,New Brunswick Museum,Saint John,New Brunswick,"Novelist, humorist, professor of English at Dalhousie University","Romancier, humoriste, professeur d'anglais à l'Université Dalhousie",45.269115,-66.081857
"De Salaberry, Lieutenant-Colonel Charles-Michel d'Irumberry","De Salaberry, lieutenant-colonel Charles-Michel d'Irumberry",Corner of Royal Avenue and Temple Street,On a boulder,Beauport,Quebec,Commanded the Voltigeur Corps in the War of 1812; lead the defence at the Battle of the Châteauguay,Commanda un corps de voltigeurs pendant la guerre de 1812,46.860536,-71.190366
"De la Roche, Mazo","De la Roche, Mazo",1507 Clarkson Rd. North,Benares Historic House,Mississauga,Ontario,"Writer, best known for novels of the Whiteoak family of Jalna (1929 onwards)","Auteure, connue surtout pour ses romans de la famille Whiteoak de Jalna",43.527133,-79.6371
Demasduit,Demasduit,<Null>,Botwood Heritage Centre,Botwood,Newfoundland and Labrador,One of the last survivors of the Beothuks,Une des dernières survivante Béothuk,49.152471,-55.340407
"Demers, Bishop Modeste","Demers, l'évêque Modeste",835 Humboldt Street,"Humboldt Gardens, St. Ann's Academy NHSC, in front of chapel building",Victoria,British Columbia,"First Roman Catholic bishop of Vancouver Island,1846, missionary to the Columbia district","Premier évêque de l'île de Vancouver, 1846, missionnaire dans le district de Columbia",48.419217,-123.363267
